iter	Passed	Remaining
179	7992	436047
180	8039	436115
181	8083	436083
182	8129	436122
183	8165	435634
184	8205	435354
185	8253	435503
186	8294	435267
187	8336	435068
188	8371	434542
189	8413	434424
190	8457	434323
191	8502	434315
192	8543	434132
193	8582	433817
194	8637	434326
195	8684	434407
196	8725	434217
197	8771	434239
198	8804	433650
199	8836	433008
200	8877	432797
201	8917	432526
202	8964	432645
203	9013	432802
204	9055	432653
205	9098	432597
206	9141	432497
207	9193	432806
208	9233	432573
209	9279	432608
210	9323	432530
211	9365	432415
212	9408	432311
213	9445	431954
214	9490	431919
215	9532	431796
216	9578	431814
217	9619	431621
218	9662	431558
219	9704	431425
220	9740	431003
221	9784	430971
222	9826	430839
223	9877	431098
224	9923	431107
225	9964	430951
226	10011	431032
227	10054	430927
228	10095	430745
229	10143	430883
230	10183	430654
231	10219	430290
232	10262	430179
233	10306	430140
234	10347	429989
235	10390	429884
236	10432	429772
237	10468	429373
238	10512	429358
239	10545	428852
240	10586	428679
241	10637	428929
242	10695	429429
243	10736	429274
244	10772	428940
245	10827	429317
246	10871	429268
247	10925	429603
248	10969	429575
249	11005	429214
250	11050	429221
251	11106	429629
252	11166	430205
253	11209	430106
254	11266	430557
255	11318	430799
256	11355	430511
257	11403	430608
258	11441	430299
259	11485	430272
260	11542	430688
261	11583	430524
262	11629	430541
263	11675	430581
264	11725	430762
265	11765	430554
266	11812	430590
267	11852	430400
268	11892	430203
269	11943	430402
270	11986	430310
271	12030	430281
272	12075	430252
273	12116	430103
274	12158	429980
275	12198	429773
276	12229	429279
277	12269	429063
278	12315	429094
279	12368	429371
280	12413	429353
281	12451	429089
282	12493	428982
283	12532	428767
284	12570	428494
285	12616	428528
286	12665	428656
287	12703	428395
288	12754	428569
289	12790	428256
290	12838	428360
291	12888	428483
292	12932	428465
293	12979	428485
294	13021	428380
295	13068	428431
296	13105	428143
297	13150	428153
298	13199	428252
299	13243	428221
300	13290	428254
301	13337	428299
302	13378	428146
303	13420	428050
304	13455	427692
305	13490	427370
306	13537	427425
307	13572	427106
308	13617	427090
309	13658	426930
310	13702	426907
311	13748	426896
312	13795	426941
313	13840	426930
314	13886	426958
315	13934	427043
316	13982	427102
317	14031	427212
318	14074	427137
319	14123	427238
320	14162	427035
321	14207	427006
322	14254	427066
323	14294	426898
324	14339	426871
325	14379	426719
326	14426	426750
327	14471	426745
328	14514	426658
329	14557	426590
330	14604	426626
331	14642	426401
332	14679	426144
333	14729	426272
334	14765	426006
335	14818	426206
336	14858	426051
337	14894	425776
338	14929	425454
339	14965	425192
340	15003	424993
341	15051	425049
342	15094	424975
343	15135	424845
344	15181	424865
345	15224	424784
346	15266	424682
347	15300	424362
348	15335	424089
349	15376	423965
350	15419	423891
351	15461	423779
352	15504	423724
353	15555	423862
354	15599	423813
355	15642	423744
356	15687	423731
357	15732	423722
358	15770	423521
359	15822	423700
360	15876	423905
361	15919	423844
362	15960	423731
363	16002	423620
364	16047	423613
365	16093	423623
366	16131	423427
367	16178	423450
368	16216	423250
369	16254	423058
370	16287	422732
371	16330	422649
372	16361	422281
373	16408	422315
374	16457	422417
375	16500	422337
376	16542	422259
377	16588	422264
378	16636	422329
379	16685	422398
380	16730	422388
381	16766	422136
382	16808	422066
383	16852	422002
384	16890	421826
385	16943	422010
386	16983	421864
387	17030	421910
388	17071	421780
389	17114	421728
390	17152	421526
391	17204	421691
392	17254	421782
393	17293	421636
394	17332	421459
395	17363	421103
396	17405	421009
397	17445	420883
398	17490	420857
399	17540	420962
